"Country","school_close_begin","travel_restrictions","public_events","sport_begin","lockdown","social_distancing_encouraged","self_isolating_if_ill","rest_begin","border_close","border_type","flight_rest","border_control"
"1","Austria",2020-03-14,2020-03-13,2020-03-10,2020-03-15,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-11,"partly",2020-03-17,2020-03-11
"2","Belgium",2020-03-14,2020-03-19,2020-03-12,2020-03-16,2020-03-18,2020-03-14,2020-03-10,2020-03-16,2020-03-21,"partly",2020-03-21,2020-03-21
"3","Denmark",2020-03-13,2020-03-13,2020-03-12,2020-03-12,2020-03-18,2020-03-13,2020-03-12,2020-03-18,2020-03-14,"full",2020-03-14,2020-03-14
"4","France",2020-03-16,2020-03-17,2020-03-13,2020-02-13,2020-03-17,2020-03-16,2020-03-16,2020-03-15,2020-03-17,"partly",2020-03-17,2020-03-16
"5","Germany",2020-03-16,2020-03-16,2020-03-13,2020-03-16,2020-03-22,2020-03-12,2020-03-06,2020-03-23,2020-03-16,"partly",2020-03-17,2020-03-16
"6","Greece",2020-03-10,2020-03-18,2020-03-13,2020-03-12,2020-03-23,NA,NA,2020-03-13,2020-03-16,"full",2020-03-17,2020-03-16
"7","Italy",2020-03-05,2020-03-09,2020-03-09,2020-03-09,2020-03-11,2020-03-09,2020-03-09,2020-03-12,NA,NA,2020-01-31,2020-03-11
"8","Netherlands",2020-03-16,2020-03-17,2020-03-13,2020-03-12,NA,NA,2020-03-12,2020-03-16,2020-03-20,"partly",2020-03-17,NA
"9","Norway",2020-03-13,2020-03-13,2020-03-12,2020-03-13,2020-03-24,2020-03-16,2020-03-15,NA,2020-03-16,"full",2020-03-16,2020-03-16
"10","Spain",2020-03-13,2020-03-12,2020-03-14,2020-03-13,2020-03-14,2020-03-09,2020-03-17,2020-03-15,2020-03-17,"full",2020-03-17,2020-03-17
"11","Sweden",2020-03-18,2020-03-19,2020-03-12,2020-03-12,2090-03-21,2020-03-16,2020-03-10,NA,NA,"none",2020-03-17,NA
"12","Switzerland",2020-03-14,2020-03-18,2020-03-13,2020-03-16,2020-03-20,2020-03-16,2020-03-02,2020-03-17,2020-03-25,"full",2020-03-17,2020-03-13
"13","United_Kingdom",2020-03-21,2020-03-24,2020-03-24,2020-03-21,2020-03-24,2020-03-16,2020-03-12,2020-03-21,NA,"none",NA,2020-03-25
"14","United_States",NA,2020-03-19,NA,NA,NA,NA,2020-02-29,NA,2020-03-12,"partly",2020-03-13,2020-03-19
