Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	3	0	0
03-01-2020	4	0	0
03-02-2020	4	0	0
03-03-2020	6	0	0
03-04-2020	10	0	0
03-05-2020	10	0	0
03-06-2020	23	0	1
03-07-2020	23	0	1
03-08-2020	35	0	1
03-09-2020	90	0	1
03-10-2020	262	0	1
03-11-2020	444	0	1
03-12-2020	617	0	1
03-13-2020	804	0	1
03-14-2020	836	1	1
03-15-2020	875	2	1
03-16-2020	932	3	1
03-17-2020	1024	4	1
03-18-2020	1115	4	1
03-19-2020	1225	6	1
03-20-2020	1337	9	1
03-21-2020	1420	13	1
03-22-2020	1514	13	4
03-23-2020	1572	24	24
03-24-2020	1718	32	36
03-25-2020	1862	34	41
03-26-2020	2023	41	50
03-27-2020	2200	52	57
03-28-2020	2366	65	57
03-29-2020	2564	72	73
03-30-2020	2755	77	73
04-01-2020	3290	104	971
04-02-2020	3573	123	1172
04-03-2020	3946	139	1287
04-04-2020	4269	161	1379
04-05-2020	4561	179	1429
04-06-2020	4875	187	1489
04-07-2020	5266	203	1621
04-08-2020	5597	218	1763
04-09-2020	5830	237	1883
04-10-2020	6014	247	1929
04-11-2020	6191	260	2111
04-12-2020	6369	273	2291
04-13-2020	6513	285	2403
04-14-2020	6706	299	2689
04-15-2020	6876	309	2925
04-16-2020	7074	321	3203
04-17-2020	7268	336	3571
04-18-2020	7437	346	4031
04-19-2020	7580	355	4328
04-20-2020	7711	364	4499
04-21-2020	7891	370	4889
04-22-2020	8108	384	5276
