Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	0	0	0
03-17-2020	0	0	0
03-18-2020	0	0	0
03-19-2020	1	0	0
03-20-2020	1	0	0
03-21-2020	3	0	0
03-22-2020	3	0	0
03-23-2020	3	0	0
03-24-2020	5	0	0
03-25-2020	9	0	0
03-26-2020	13	0	0
03-27-2020	13	0	0
03-28-2020	19	0	0
03-29-2020	24	0	0
03-30-2020	30	0	0
04-01-2020	32	1	0
04-02-2020	41	2	0
04-03-2020	46	2	0
04-04-2020	56	3	2
04-05-2020	62	3	2
04-06-2020	69	4	5
04-07-2020	78	4	5
04-08-2020	93	5	9
04-09-2020	103	6	14
04-10-2020	117	6	15
04-11-2020	118	6	19
04-12-2020	125	6	21
04-13-2020	137	6	22
04-14-2020	149	6	25
04-15-2020	159	6	30
04-16-2020	164	6	33
04-17-2020	177	7	38
04-18-2020	190	7	43
04-19-2020	201	7	44
04-20-2020	218	7	46
04-21-2020	225	7	48
04-22-2020	237	7	63
