Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	1	0	0
03-15-2020	1	0	0
03-16-2020	2	1	0
03-17-2020	6	1	0
03-18-2020	6	1	0
03-19-2020	9	1	0
03-20-2020	12	1	0
03-21-2020	17	1	0
03-22-2020	19	1	0
03-23-2020	20	1	0
03-24-2020	21	1	0
03-25-2020	24	1	4
03-26-2020	25	1	4
03-27-2020	28	1	4
03-28-2020	34	1	10
03-29-2020	34	1	10
03-30-2020	36	1	10
04-01-2020	39	1	12
04-02-2020	47	1	12
04-03-2020	50	1	12
04-04-2020	61	2	15
04-05-2020	61	2	15
04-06-2020	70	3	15
04-07-2020	77	3	17
04-08-2020	87	3	17
04-09-2020	95	3	17
04-10-2020	126	3	17
04-11-2020	137	3	19
04-12-2020	155	5	19
04-13-2020	156	5	19
04-14-2020	167	5	19
04-15-2020	180	5	19
04-16-2020	196	5	19
04-17-2020	214	7	21
04-18-2020	235	7	21
04-19-2020	257	7	21
04-20-2020	289	7	21
04-21-2020	294	7	24
04-22-2020	316	8	24
