Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	2	0	0
03-03-2020	2	0	0
03-04-2020	2	0	0
03-05-2020	2	0	0
03-06-2020	4	0	0
03-07-2020	4	0	0
03-08-2020	6	0	0
03-09-2020	19	0	0
03-10-2020	27	0	2
03-11-2020	34	1	2
03-12-2020	34	1	2
03-13-2020	69	4	2
03-14-2020	96	5	8
03-15-2020	117	5	8
03-16-2020	134	5	8
03-17-2020	172	5	8
03-18-2020	227	19	11
03-19-2020	311	25	11
03-20-2020	369	32	15
03-21-2020	450	38	15
03-22-2020	514	48	29
03-23-2020	579	49	30
03-24-2020	686	55	30
03-25-2020	790	58	31
03-26-2020	893	78	35
03-27-2020	1046	87	46
03-28-2020	1155	102	59
03-29-2020	1285	114	64
03-30-2020	1414	122	75
04-01-2020	1677	157	103
04-02-2020	1790	170	112
04-03-2020	1986	181	134
04-04-2020	2092	191	150
04-05-2020	2273	198	164
04-06-2020	2491	209	192
04-07-2020	2738	221	204
04-08-2020	2956	240	222
04-09-2020	3293	280	252
04-10-2020	3512	306	282
04-11-2020	3842	327	286
04-12-2020	4241	373	359
04-13-2020	4557	399	380
04-14-2020	4839	459	426
04-15-2020	5136	469	446
04-16-2020	5516	496	548
04-17-2020	5923	520	607
04-18-2020	6248	535	631
04-19-2020	6575	582	686
04-20-2020	6760	590	747
04-21-2020	7135	616	842
04-22-2020	7418	635	913
