Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	2	2	0
02-20-2020	5	2	0
02-21-2020	18	4	0
02-22-2020	28	5	0
02-23-2020	43	8	0
02-24-2020	61	12	0
02-25-2020	95	16	0
02-26-2020	139	19	49
02-27-2020	245	26	49
02-28-2020	388	34	73
02-29-2020	593	43	123
03-01-2020	978	54	175
03-02-2020	1501	66	291
03-03-2020	2336	77	291
03-04-2020	2922	92	552
03-05-2020	3513	107	739
03-06-2020	4747	124	913
03-07-2020	5823	145	1669
03-08-2020	6566	194	2134
03-09-2020	7161	237	2394
03-10-2020	8042	291	2731
03-11-2020	9000	354	2959
03-12-2020	10075	429	2959
03-13-2020	11364	514	2959
03-14-2020	12729	611	2959
03-15-2020	13938	724	4590
03-16-2020	14991	853	4590
03-17-2020	16169	988	5389
03-18-2020	17361	1135	5389
03-19-2020	18407	1284	5710
03-20-2020	19644	1433	6745
03-21-2020	20610	1556	7635
03-22-2020	21638	1685	7635
03-23-2020	23049	1812	8376
03-24-2020	24811	1934	8913
03-25-2020	27017	2077	9625
03-26-2020	29406	2234	10457
03-27-2020	32332	2378	11133
03-28-2020	35408	2517	11679
03-29-2020	38309	2640	12391
03-30-2020	41495	2757	13911
04-01-2020	47593	3036	15473
04-02-2020	50468	3160	16711
04-03-2020	53183	3294	17935
04-04-2020	55743	3452	19736
04-05-2020	58226	3603	19736
04-06-2020	60500	3739	24236
04-07-2020	62589	3872	27039
04-08-2020	64586	3993	29812
04-09-2020	66220	4110	32309
04-10-2020	68192	4232	35465
04-11-2020	70029	4357	41947
04-12-2020	71686	4474	43894
04-13-2020	73303	4585	45983
04-14-2020	74877	4683	48129
04-15-2020	76389	4777	49933
04-16-2020	77995	4869	52229
04-17-2020	79494	4958	54064
04-18-2020	80868	5031	55987
04-19-2020	82211	5118	57023
04-20-2020	83505	5209	59273
04-21-2020	84802	5297	60965
04-22-2020	85996	5391	63113
