Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	1	0	0
03-14-2020	1	0	0
03-15-2020	3	0	0
03-16-2020	3	0	0
03-17-2020	3	0	0
03-18-2020	3	0	0
03-19-2020	7	0	0
03-20-2020	7	0	0
03-21-2020	7	0	0
03-22-2020	15	0	0
03-23-2020	16	0	0
03-24-2020	25	0	0
03-25-2020	28	0	1
03-26-2020	31	1	1
03-27-2020	31	1	1
03-28-2020	38	1	1
03-29-2020	42	1	1
03-30-2020	50	1	1
04-01-2020	81	1	3
04-02-2020	110	3	4
04-03-2020	122	4	4
04-04-2020	126	4	4
04-05-2020	142	4	4
04-06-2020	158	6	4
04-07-2020	172	6	7
04-08-2020	179	6	9
04-09-2020	184	7	12
04-10-2020	189	7	22
04-11-2020	191	7	24
04-12-2020	197	8	25
04-13-2020	208	9	40
04-14-2020	216	9	41
04-15-2020	225	10	53
04-16-2020	234	11	53
04-17-2020	246	11	53
04-18-2020	262	12	60
04-19-2020	270	14	67
04-20-2020	281	14	69
04-21-2020	296	14	74
04-22-2020	303	14	74
