Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	0	0	0
03-17-2020	0	0	0
03-18-2020	3	0	0
03-19-2020	3	0	0
03-20-2020	6	0	0
03-21-2020	14	0	0
03-22-2020	14	0	0
03-23-2020	16	0	0
03-24-2020	42	0	0
03-25-2020	44	0	0
03-26-2020	44	0	0
03-27-2020	58	0	0
03-28-2020	58	0	0
03-29-2020	84	0	0
03-30-2020	94	0	3
04-01-2020	111	0	3
04-02-2020	116	0	5
04-03-2020	130	1	6
04-04-2020	144	1	9
04-05-2020	147	1	9
04-06-2020	216	4	33
04-07-2020	228	4	33
04-08-2020	270	4	33
04-09-2020	280	4	35
04-10-2020	298	5	35
04-11-2020	339	5	44
04-12-2020	377	5	54
04-13-2020	419	5	67
04-14-2020	430	5	71
04-15-2020	449	5	78
04-16-2020	466	5	91
04-17-2020	489	5	114
04-18-2020	506	5	130
04-19-2020	554	5	133
04-20-2020	568	7	201
04-21-2020	590	7	216
04-22-2020	612	7	254
