Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	1	0	0
02-22-2020	1	0	0
02-23-2020	1	0	0
02-24-2020	1	0	0
02-25-2020	1	0	0
02-26-2020	2	0	0
02-27-2020	2	0	0
02-28-2020	2	0	0
02-29-2020	4	0	0
03-01-2020	10	0	0
03-02-2020	13	0	0
03-03-2020	13	0	0
03-04-2020	13	0	1
03-05-2020	16	0	1
03-06-2020	22	0	1
03-07-2020	22	0	1
03-08-2020	32	0	1
03-09-2020	32	0	1
03-10-2020	41	1	1
03-11-2020	61	3	1
03-12-2020	61	3	1
03-13-2020	77	3	1
03-14-2020	93	3	1
03-15-2020	110	3	1
03-16-2020	99	3	1
03-17-2020	120	3	3
03-18-2020	133	3	3
03-19-2020	157	4	4
03-20-2020	163	4	4
03-21-2020	187	4	4
03-22-2020	248	4	8
03-23-2020	267	4	8
03-24-2020	318	4	8
03-25-2020	333	6	20
03-26-2020	368	6	23
03-27-2020	391	8	27
03-28-2020	412	8	30
03-29-2020	438	10	30
03-30-2020	446	11	35
04-01-2020	479	14	43
04-02-2020	494	16	46
04-03-2020	508	17	50
04-04-2020	520	17	54
04-05-2020	527	18	54
04-06-2020	541	19	60
04-07-2020	548	19	62
04-08-2020	576	19	62
04-09-2020	582	19	67
04-10-2020	609	20	76
04-11-2020	619	20	77
04-12-2020	630	20	80
04-13-2020	632	20	80
04-14-2020	641	21	80
04-15-2020	658	21	85
04-16-2020	663	21	86
04-17-2020	668	21	86
04-18-2020	672	21	99
04-19-2020	673	21	102
04-20-2020	677	21	103
04-21-2020	677	21	108
04-22-2020	682	22	113
