Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	1	0	0
03-10-2020	1	0	0
03-11-2020	1	0	0
03-12-2020	2	0	0
03-13-2020	2	0	0
03-14-2020	2	0	0
03-15-2020	2	0	0
03-16-2020	7	0	0
03-17-2020	7	0	0
03-18-2020	7	0	0
03-19-2020	7	0	0
03-20-2020	11	0	0
03-21-2020	11	0	0
03-22-2020	23	0	1
03-23-2020	23	0	1
03-24-2020	23	0	1
03-25-2020	31	0	1
03-26-2020	33	0	1
03-27-2020	42	0	1
03-28-2020	42	0	1
03-29-2020	46	1	1
03-30-2020	49	1	1
04-01-2020	55	1	2
04-02-2020	60	1	2
04-03-2020	64	1	3
04-04-2020	66	1	3
04-05-2020	73	1	3
04-06-2020	77	1	4
04-07-2020	79	1	4
04-08-2020	81	1	4
04-09-2020	84	1	5
04-10-2020	90	1	5
04-11-2020	92	1	5
04-12-2020	93	1	6
04-13-2020	93	1	6
04-14-2020	93	1	6
04-15-2020	93	3	12
04-16-2020	93	3	12
04-17-2020	94	3	20
04-18-2020	94	3	22
04-19-2020	94	3	22
04-20-2020	94	3	23
04-21-2020	94	3	26
04-22-2020	94	3	26
