Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	1	0	0
01-26-2020	1	0	0
01-27-2020	1	0	0
01-28-2020	1	0	0
01-29-2020	1	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	1	0	0
02-10-2020	1	0	0
02-11-2020	1	0	0
02-12-2020	1	0	1
02-13-2020	1	0	1
02-14-2020	1	0	1
02-15-2020	1	0	1
02-16-2020	1	0	1
02-17-2020	1	0	1
02-18-2020	1	0	1
02-19-2020	1	0	1
02-20-2020	1	0	1
02-21-2020	1	0	1
02-22-2020	1	0	1
02-23-2020	1	0	1
02-24-2020	1	0	1
02-25-2020	1	0	1
02-26-2020	1	0	1
02-27-2020	1	0	1
02-28-2020	1	0	1
02-29-2020	1	0	1
03-01-2020	1	0	1
03-02-2020	1	0	1
03-03-2020	1	0	1
03-04-2020	1	0	1
03-05-2020	1	0	1
03-06-2020	1	0	1
03-07-2020	1	0	1
03-08-2020	1	0	1
03-09-2020	1	0	1
03-10-2020	1	0	1
03-11-2020	1	0	1
03-12-2020	1	0	1
03-13-2020	1	0	1
03-14-2020	1	0	1
03-15-2020	1	0	1
03-16-2020	1	0	1
03-17-2020	1	0	1
03-18-2020	1	0	1
03-19-2020	1	0	1
03-20-2020	1	0	1
03-21-2020	1	0	1
03-22-2020	1	0	1
03-23-2020	2	0	1
03-24-2020	2	0	1
03-25-2020	3	0	1
03-26-2020	3	0	1
03-27-2020	4	0	1
03-28-2020	5	0	1
03-29-2020	5	0	1
03-30-2020	5	0	1
04-01-2020	5	0	1
04-02-2020	6	0	1
04-03-2020	6	0	1
04-04-2020	9	0	1
04-05-2020	9	0	1
04-06-2020	9	0	1
04-07-2020	9	0	1
04-08-2020	9	0	1
04-09-2020	9	0	1
04-10-2020	9	0	1
04-11-2020	9	0	1
04-12-2020	12	0	1
04-13-2020	14	0	1
04-14-2020	16	0	1
04-15-2020	16	0	1
04-16-2020	16	0	2
04-17-2020	30	0	2
04-18-2020	31	0	2
04-19-2020	31	0	4
04-20-2020	31	0	4
04-21-2020	43	0	4
04-22-2020	45	0	7
