Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	6	0	0
03-01-2020	10	0	0
03-02-2020	18	0	0
03-03-2020	24	0	0
03-04-2020	38	0	0
03-05-2020	82	0	0
03-06-2020	128	1	0
03-07-2020	188	1	0
03-08-2020	265	3	0
03-09-2020	321	3	0
03-10-2020	382	4	0
03-11-2020	503	5	0
03-12-2020	503	5	0
03-13-2020	804	10	0
03-14-2020	959	12	2
03-15-2020	1135	20	2
03-16-2020	1414	24	2
03-17-2020	1708	43	2
03-18-2020	2056	58	2
03-19-2020	2465	77	2
03-20-2020	3003	107	2
03-21-2020	3640	137	2
03-22-2020	4217	180	3
03-23-2020	4764	214	3
03-24-2020	5580	277	3
03-25-2020	6438	357	4
03-26-2020	7468	435	6
03-27-2020	8647	547	6
03-28-2020	9819	640	6
03-29-2020	10930	772	253
03-30-2020	11817	865	253
04-01-2020	13696	1175	260
04-02-2020	14788	1341	260
04-03-2020	15821	1490	260
04-04-2020	16727	1656	262
04-05-2020	17953	1771	257
04-06-2020	18926	1874	258
04-07-2020	19709	2108	272
04-08-2020	20682	2255	272
04-09-2020	21903	2403	278
04-10-2020	23249	2520	287
04-11-2020	24571	2653	291
04-12-2020	25746	2747	295
04-13-2020	26710	2833	295
04-14-2020	27580	2955	297
04-15-2020	28316	3145	304
04-16-2020	29383	3327	311
04-17-2020	30619	3471	315
04-18-2020	31766	3613	317
04-19-2020	32838	3697	322
04-20-2020	33588	3764	322
04-21-2020	34317	3929	74
04-22-2020	35032	4068	101
