Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	2	0	0
02-27-2020	2	0	0
02-28-2020	2	0	0
02-29-2020	4	0	0
03-01-2020	4	0	0
03-02-2020	4	0	0
03-03-2020	5	0	0
03-04-2020	5	0	0
03-05-2020	5	0	0
03-06-2020	6	0	0
03-07-2020	6	0	0
03-08-2020	6	0	1
03-09-2020	6	0	1
03-10-2020	16	0	1
03-11-2020	19	0	2
03-12-2020	20	0	2
03-13-2020	28	0	2
03-14-2020	31	0	2
03-15-2020	53	0	2
03-16-2020	136	0	2
03-17-2020	236	0	2
03-18-2020	299	0	2
03-19-2020	454	2	13
03-20-2020	501	3	13
03-21-2020	730	3	13
03-22-2020	776	4	13
03-23-2020	875	6	13
03-24-2020	972	7	18
03-25-2020	1063	8	21
03-26-2020	1201	9	21
03-27-2020	1373	11	23
03-28-2020	1495	12	29
03-29-2020	1597	14	29
03-30-2020	1717	21	76
04-01-2020	2118	27	94
04-02-2020	2421	34	125
04-03-2020	2686	40	126
04-04-2020	2818	41	131
04-05-2020	3157	47	211
04-06-2020	3766	53	259
04-07-2020	4035	57	429
04-08-2020	4263	61	467
04-09-2020	4489	65	572
04-10-2020	4695	66	727
04-11-2020	5011	86	762
04-12-2020	5230	91	1028
04-13-2020	5496	93	1095
04-14-2020	5837	96	1378
04-15-2020	6383	111	1446
04-16-2020	6919	128	1645
04-17-2020	7025	135	1765
04-18-2020	7638	143	1832
04-19-2020	8348	168	1868
04-20-2020	8418	176	1970
04-21-2020	9565	201	2073
04-22-2020	10076	212	2156
