Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	2	1	0
02-03-2020	2	1	0
02-04-2020	2	1	0
02-05-2020	2	1	0
02-06-2020	2	1	0
02-07-2020	3	1	0
02-08-2020	3	1	0
02-09-2020	3	1	0
02-10-2020	3	1	0
02-11-2020	3	1	0
02-12-2020	3	1	1
02-13-2020	3	1	1
02-14-2020	3	1	1
02-15-2020	3	1	1
02-16-2020	3	1	1
02-17-2020	3	1	1
02-18-2020	3	1	1
02-19-2020	3	1	1
02-20-2020	3	1	1
02-21-2020	3	1	1
02-22-2020	3	1	1
02-23-2020	3	1	1
02-24-2020	3	1	1
02-25-2020	3	1	1
02-26-2020	3	1	1
02-27-2020	3	1	1
02-28-2020	3	1	1
02-29-2020	3	1	1
03-01-2020	3	1	1
03-02-2020	3	1	1
03-03-2020	3	1	1
03-04-2020	3	1	1
03-05-2020	3	1	1
03-06-2020	5	1	1
03-07-2020	6	1	1
03-08-2020	10	1	1
03-09-2020	20	1	1
03-10-2020	33	1	2
03-11-2020	49	1	2
03-12-2020	52	2	2
03-13-2020	64	5	2
03-14-2020	111	8	2
03-15-2020	140	11	2
03-16-2020	142	12	2
03-17-2020	187	12	5
03-18-2020	202	19	5
03-19-2020	217	17	8
03-20-2020	230	18	8
03-21-2020	307	19	13
03-22-2020	380	25	15
03-23-2020	462	33	18
03-24-2020	552	35	20
03-25-2020	636	38	26
03-26-2020	707	45	28
03-27-2020	803	54	31
03-28-2020	1075	68	35
03-29-2020	1418	71	42
03-30-2020	1546	78	42
04-01-2020	2311	96	50
04-02-2020	2633	107	51
04-03-2020	3018	136	52
04-04-2020	3094	144	57
04-05-2020	3246	152	64
04-06-2020	3660	163	73
04-07-2020	3764	177	84
04-08-2020	3870	182	96
04-09-2020	4076	203	124
04-10-2020	4195	221	140
04-11-2020	4428	247	157
04-12-2020	4648	297	197
04-13-2020	4932	315	242
04-14-2020	5223	335	295
04-15-2020	5453	349	353
04-16-2020	5660	362	435
04-17-2020	5878	387	487
04-18-2020	6087	397	516
04-19-2020	6259	409	572
04-20-2020	6459	428	613
04-21-2020	6599	437	654
04-22-2020	6710	446	693
