Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	5	0	0
03-07-2020	5	0	0
03-08-2020	11	0	0
03-09-2020	16	0	0
03-10-2020	22	0	0
03-11-2020	31	0	0
03-12-2020	49	1	0
03-13-2020	68	2	0
03-14-2020	103	3	0
03-15-2020	119	3	0
03-16-2020	177	4	13
03-17-2020	238	5	13
03-18-2020	251	5	13
03-19-2020	355	5	1
03-20-2020	425	5	1
03-21-2020	536	5	1
03-22-2020	634	7	13
03-23-2020	749	8	13
03-24-2020	901	10	1
03-25-2020	1051	14	7
03-26-2020	1221	16	7
03-27-2020	1389	16	7
03-28-2020	1638	18	7
03-29-2020	1862	22	7
03-30-2020	2055	31	7
04-01-2020	2554	43	47
04-02-2020	2946	57	56
04-03-2020	3383	71	56
04-04-2020	3627	79	116
04-05-2020	4102	94	134
04-06-2020	4413	107	162
04-07-2020	4848	129	191
04-08-2020	5205	159	222
04-09-2020	5575	174	284
04-10-2020	5955	181	318
04-11-2020	6356	208	375
04-12-2020	6674	232	439
04-13-2020	6934	245	487
04-14-2020	7202	263	618
04-15-2020	7582	286	668
04-16-2020	7918	314	774
04-17-2020	8379	332	866
04-18-2020	8742	347	981
04-19-2020	9287	360	1040
04-20-2020	9593	380	1133
04-21-2020	9856	401	1297
04-22-2020	10169	426	1513
