Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	1	0	0
03-15-2020	1	0	0
03-16-2020	5	0	0
03-17-2020	7	0	0
03-18-2020	8	0	0
03-19-2020	8	0	0
03-20-2020	17	0	0
03-21-2020	17	0	0
03-22-2020	19	0	0
03-23-2020	36	0	0
03-24-2020	40	0	0
03-25-2020	41	0	0
03-26-2020	50	0	0
03-27-2020	54	0	0
03-28-2020	60	0	0
03-29-2020	70	0	0
03-30-2020	70	0	0
04-01-2020	82	0	0
04-02-2020	84	0	0
04-03-2020	89	0	0
04-04-2020	102	0	0
04-05-2020	104	0	4
04-06-2020	105	0	4
04-07-2020	105	0	7
04-08-2020	110	0	7
04-09-2020	110	0	7
04-10-2020	118	0	7
04-11-2020	120	0	18
04-12-2020	126	0	25
04-13-2020	127	0	42
04-14-2020	134	0	49
04-15-2020	136	0	54
04-16-2020	138	0	60
04-17-2020	143	0	65
04-18-2020	144	0	69
04-19-2020	147	0	76
04-20-2020	147	0	76
04-21-2020	150	0	84
04-22-2020	153	0	84
