Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	3	0	0
03-09-2020	3	0	0
03-10-2020	7	0	0
03-11-2020	10	0	0
03-12-2020	16	0	0
03-13-2020	32	0	0
03-14-2020	44	0	0
03-15-2020	54	0	0
03-16-2020	63	0	0
03-17-2020	72	0	0
03-18-2020	105	1	0
03-19-2020	123	1	0
03-20-2020	137	1	0
03-21-2020	178	1	0
03-22-2020	185	0	7
03-23-2020	186	0	7
03-24-2020	204	0	7
03-25-2020	216	0	7
03-26-2020	226	0	2
03-27-2020	269	0	2
03-28-2020	292	0	2
03-29-2020	314	0	2
03-30-2020	336	0	7
04-01-2020	400	1	3
04-02-2020	426	1	5
04-03-2020	450	1	10
04-04-2020	471	1	10
04-05-2020	485	1	10
04-06-2020	534	2	8
04-07-2020	581	2	13
04-08-2020	682	2	16
04-09-2020	701	2	23
04-10-2020	715	2	23
04-11-2020	728	2	23
04-12-2020	742	2	23
04-13-2020	769	2	107
04-14-2020	835	2	113
04-15-2020	863	6	151
04-16-2020	977	8	167
04-17-2020	1049	9	175
04-18-2020	1089	11	213
04-19-2020	1161	12	229
04-20-2020	1173	13	251
04-21-2020	1199	14	258
04-22-2020	1244	14	284
