Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	1	0	0
01-28-2020	1	0	0
01-29-2020	1	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	1
02-09-2020	1	0	1
02-10-2020	1	0	1
02-11-2020	1	0	1
02-12-2020	1	0	1
02-13-2020	1	0	1
02-14-2020	1	0	1
02-15-2020	1	0	1
02-16-2020	1	0	1
02-17-2020	1	0	1
02-18-2020	1	0	1
02-19-2020	1	0	1
02-20-2020	1	0	1
02-21-2020	1	0	1
02-22-2020	1	0	1
02-23-2020	1	0	1
02-24-2020	1	0	1
02-25-2020	1	0	1
02-26-2020	1	0	1
02-27-2020	1	0	1
02-28-2020	1	0	1
02-29-2020	1	0	1
03-01-2020	1	0	1
03-02-2020	1	0	1
03-03-2020	1	0	1
03-04-2020	1	0	1
03-05-2020	1	0	1
03-06-2020	1	0	1
03-07-2020	1	0	1
03-08-2020	1	0	1
03-09-2020	1	0	1
03-10-2020	1	0	1
03-11-2020	2	0	1
03-12-2020	2	0	1
03-13-2020	6	0	1
03-14-2020	10	0	1
03-15-2020	18	0	1
03-16-2020	28	0	1
03-17-2020	44	0	1
03-18-2020	51	0	1
03-19-2020	60	0	3
03-20-2020	73	0	3
03-21-2020	77	0	1
03-22-2020	82	0	3
03-23-2020	97	0	2
03-24-2020	102	0	2
03-25-2020	102	0	3
03-26-2020	106	0	7
03-27-2020	106	0	7
03-28-2020	113	1	9
03-29-2020	117	1	11
03-30-2020	122	2	15
04-01-2020	146	3	21
04-02-2020	151	4	21
04-03-2020	159	4	24
04-04-2020	166	5	27
04-05-2020	176	5	33
04-06-2020	178	5	38
04-07-2020	185	6	42
04-08-2020	189	7	44
04-09-2020	190	7	49
04-10-2020	190	7	54
04-11-2020	198	7	54
04-12-2020	210	7	56
04-13-2020	217	7	56
04-14-2020	233	7	61
04-15-2020	238	7	63
04-16-2020	238	7	68
04-17-2020	244	7	77
04-18-2020	254	7	86
04-19-2020	271	7	96
04-20-2020	304	7	98
04-21-2020	310	7	102
04-22-2020	330	7	105
