Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	2	0	0
03-09-2020	2	0	0
03-10-2020	5	0	0
03-11-2020	7	0	0
03-12-2020	7	0	0
03-13-2020	16	0	0
03-14-2020	18	0	0
03-15-2020	18	0	0
03-16-2020	20	0	0
03-17-2020	24	0	0
03-18-2020	29	0	0
03-19-2020	39	1	0
03-20-2020	54	1	0
03-21-2020	60	1	0
03-22-2020	75	3	1
03-23-2020	89	3	1
03-24-2020	114	4	1
03-25-2020	173	5	2
03-26-2020	197	6	2
03-27-2020	227	6	2
03-28-2020	278	8	2
03-29-2020	312	8	2
03-30-2020	312	8	3
04-01-2020	423	12	5
04-02-2020	455	14	5
04-03-2020	495	18	5
04-04-2020	553	18	5
04-05-2020	574	22	5
04-06-2020	596	22	5
04-07-2020	623	23	25
04-08-2020	628	24	25
04-09-2020	643	25	25
04-10-2020	671	25	25
04-11-2020	685	28	43
04-12-2020	707	31	43
04-13-2020	726	34	43
04-14-2020	747	34	43
04-15-2020	780	35	43
04-16-2020	822	37	43
04-17-2020	864	37	43
04-18-2020	864	37	43
04-19-2020	879	38	43
04-20-2020	884	38	148
04-21-2020	884	38	148
04-22-2020	909	38	190
