Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	1	0	0
03-10-2020	1	0	0
03-11-2020	1	0	0
03-12-2020	1	0	0
03-13-2020	3	1	0
03-14-2020	3	1	0
03-15-2020	3	1	0
03-16-2020	7	1	0
03-17-2020	14	2	0
03-18-2020	14	2	0
03-19-2020	16	2	0
03-20-2020	29	3	0
03-21-2020	47	3	1
03-22-2020	73	3	1
03-23-2020	73	3	1
03-24-2020	97	3	1
03-25-2020	145	5	1
03-26-2020	196	5	1
03-27-2020	310	5	5
03-28-2020	356	9	5
03-29-2020	475	10	6
03-30-2020	548	13	8
04-01-2020	794	20	13
04-02-2020	897	22	19
04-03-2020	1072	27	22
04-04-2020	1225	32	25
04-05-2020	1308	37	28
04-06-2020	1319	38	28
04-07-2020	1462	45	28
04-08-2020	1668	52	35
04-09-2020	1892	57	45
04-10-2020	2203	69	61
04-11-2020	2511	73	79
04-12-2020	2777	83	89
04-13-2020	3102	93	97
04-14-2020	3372	98	119
04-15-2020	3764	108	143
04-16-2020	4161	116	186
04-17-2020	4662	125	246
04-18-2020	5106	133	275
04-19-2020	5449	141	347
04-20-2020	5710	151	359
04-21-2020	6125	161	367
04-22-2020	6592	174	424
